config,target,trial,core_number,execs_sec,execs_done,run_time
aflplusplus_nothing3,re2_fuzzer,57,0,6722.7038711017185,550340707,81863
aflplusplus_nothing3,re2_fuzzer,52,0,6891.336831046993,564145507,81863
aflplusplus_nothing3,re2_fuzzer,46,0,7024.198717322258,575000907,81860
aflplusplus_nothing3,re2_fuzzer,56,0,6897.23075701494,564614207,81861
aflplusplus_nothing3,re2_fuzzer,59,0,6969.273234791107,570504707,81860
aflplusplus_nothing3,re2_fuzzer,58,0,6692.095318951406,547828307,81862
aflplusplus_nothing3,re2_fuzzer,41,0,6829.825889912291,559103207,81862
aflplusplus_nothing3,re2_fuzzer,49,0,6762.734476734953,553604207,81861
aflplusplus_nothing3,re2_fuzzer,45,0,6890.243541038076,564056007,81863
aflplusplus_nothing3,re2_fuzzer,60,0,6843.379186924336,560212707,81862
aflplusplus_nothing3,re2_fuzzer,50,0,7128.690702759488,583576007,81863
aflplusplus_nothing3,re2_fuzzer,54,0,6794.638492548253,556209107,81860
aflplusplus_nothing3,re2_fuzzer,47,0,6981.666121012961,571512207,81859
aflplusplus_nothing3,re2_fuzzer,43,0,6893.804292589968,564340607,81862
aflplusplus_nothing3,re2_fuzzer,51,0,7053.521866067284,577415407,81862
aflplusplus_nothing4,re2_fuzzer,77,0,6958.554837527486,569627299,81860
aflplusplus_nothing4,re2_fuzzer,80,0,6574.81014096206,538253407,81866
aflplusplus_nothing4,re2_fuzzer,68,0,6931.990117635562,567473507,81863
aflplusplus_nothing4,re2_fuzzer,79,0,6823.219082869149,558576007,81864
aflplusplus_nothing4,re2_fuzzer,72,0,6847.944872656202,560607007,81865
aflplusplus_nothing4,re2_fuzzer,67,0,6775.735451480504,554688807,81864
aflplusplus_nothing4,re2_fuzzer,64,0,6809.166843796191,557405207,81861
aflplusplus_nothing4,re2_fuzzer,75,0,6980.022806396052,571405607,81863
aflplusplus_nothing4,re2_fuzzer,61,0,6801.865419852923,556814307,81862
aflplusplus_nothing4,re2_fuzzer,74,0,6809.613708268693,557455407,81863
aflplusplus_nothing4,re2_fuzzer,63,0,6754.441706774816,552932107,81862
aflplusplus_nothing4,re2_fuzzer,76,0,6910.968739311019,565731901,81860
